latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.6993,-115.6428,376.7,1.5,1.2,2006-01-09,2113,Aqua,MODIS,100,6.2,304.1,257.3,D,0
32.7509,-115.4646,346.6,1.6,1.2,2006-01-09,2113,Aqua,MODIS,94,6.2,299.7,102.5,D,0
32.701,-115.6264,364.0,1.6,1.2,2006-01-09,2113,Aqua,MODIS,100,6.2,298.8,177.3,D,0
32.7552,-115.7496,343.9,1.0,1.0,2006-01-20,2055,Aqua,MODIS,93,6.2,298.6,45.6,D,0
32.7091,-115.6208,343.3,1.0,1.0,2006-01-20,2055,Aqua,MODIS,92,6.2,294.8,46.2,D,0
32.7076,-115.6314,351.9,1.0,1.0,2006-01-20,2055,Aqua,MODIS,96,6.2,297.9,63.6,D,0
34.1684,-117.1206,338.5,2.1,1.4,2006-01-23,2126,Aqua,MODIS,91,6.2,290.6,117.9,D,0
33.062,-115.6702,373.3,1.1,1.0,2006-01-27,2101,Aqua,MODIS,100,6.2,305.9,141.2,D,0
33.0713,-115.6718,419.9,1.1,1.0,2006-01-27,2101,Aqua,MODIS,100,6.2,314.6,442.2,D,0
32.6951,-115.6033,405.5,1.3,1.1,2006-01-31,2037,Aqua,MODIS,100,6.2,306.9,428.9,D,0
32.6926,-115.6173,381.8,1.3,1.1,2006-01-31,2037,Aqua,MODIS,100,6.2,311.5,235.7,D,0
33.8201,-117.7224,340.3,1.3,1.1,2006-02-06,1826,Terra,MODIS,92,6.2,282.7,62.7,D,0
33.8253,-117.6782,386.2,1.3,1.1,2006-02-06,1826,Terra,MODIS,100,6.2,297.1,257.0,D,0
33.8152,-117.6797,379.2,1.3,1.1,2006-02-06,1826,Terra,MODIS,100,6.2,285.9,217.5,D,0
33.827,-117.6923,353.4,1.3,1.1,2006-02-06,1826,Terra,MODIS,96,6.2,292.6,96.1,D,0
33.8286,-117.7067,359.3,1.3,1.1,2006-02-06,1826,Terra,MODIS,99,6.2,288.6,121.9,D,0
33.8169,-117.6942,395.5,1.3,1.1,2006-02-06,1826,Terra,MODIS,100,6.2,292.8,328.7,D,0
33.8185,-117.7081,379.9,1.3,1.1,2006-02-06,1826,Terra,MODIS,100,6.2,291.0,222.3,D,0
33.8237,-117.6637,360.7,1.3,1.1,2006-02-06,1826,Terra,MODIS,100,6.2,284.0,123.9,D,0
33.832,-117.6473,364.9,1.3,1.1,2006-02-06,1826,Terra,MODIS,100,6.2,286.4,142.9,D,0
33.8338,-117.6623,406.4,1.3,1.1,2006-02-06,1826,Terra,MODIS,100,6.2,300.5,422.9,D,0
33.8326,-117.6667,347.9,3.0,1.6,2006-02-06,2139,Aqua,MODIS,95,6.2,306.2,265.5,D,0
33.8285,-117.7271,345.2,3.0,1.6,2006-02-06,2139,Aqua,MODIS,93,6.2,299.0,234.0,D,0
33.8157,-117.6954,357.0,3.0,1.6,2006-02-06,2139,Aqua,MODIS,98,6.2,305.6,360.0,D,0
33.804,-117.713,334.7,2.1,1.4,2006-02-07,528,Terra,MODIS,100,6.2,290.1,110.9,N,0
33.8039,-117.7062,342.9,2.1,1.4,2006-02-07,528,Terra,MODIS,100,6.2,290.9,151.8,N,0
33.7991,-117.7297,317.8,2.1,1.4,2006-02-07,528,Terra,MODIS,96,6.2,285.3,53.7,N,0
33.8546,-117.6632,337.9,1.0,1.0,2006-02-07,942,Aqua,MODIS,100,6.2,284.5,42.7,N,0
33.8278,-117.6687,336.0,1.0,1.0,2006-02-07,942,Aqua,MODIS,100,6.2,283.5,39.3,N,0
33.8158,-117.6544,316.0,1.0,1.0,2006-02-07,942,Aqua,MODIS,92,6.2,288.0,16.1,N,0
33.8189,-117.6761,349.2,1.0,1.0,2006-02-07,942,Aqua,MODIS,100,6.2,282.4,62.7,N,0
33.7967,-117.714,348.6,1.0,1.0,2006-02-07,942,Aqua,MODIS,100,6.2,280.8,62.8,N,0
33.8173,-117.6652,397.5,1.0,1.0,2006-02-07,942,Aqua,MODIS,100,6.2,303.2,243.2,N,0
33.8263,-117.6578,351.7,1.0,1.0,2006-02-07,942,Aqua,MODIS,100,6.2,293.2,68.4,N,0
33.7951,-117.7032,340.5,1.0,1.0,2006-02-07,942,Aqua,MODIS,100,6.2,285.3,47.0,N,0
33.7846,-117.7066,338.7,2.0,1.4,2006-02-07,1909,Terra,MODIS,91,6.2,289.2,106.1,D,0
33.8286,-117.7127,356.8,1.4,1.2,2006-02-07,2043,Aqua,MODIS,98,6.2,302.0,111.7,D,0
33.8488,-117.7188,358.7,1.4,1.2,2006-02-07,2043,Aqua,MODIS,99,6.2,301.4,120.9,D,0
33.7923,-117.6973,353.3,1.4,1.2,2006-02-07,2043,Aqua,MODIS,91,6.2,302.5,96.0,D,0
33.805,-117.6855,418.6,1.4,1.2,2006-02-07,2043,Aqua,MODIS,100,6.2,319.3,588.8,D,0
33.8514,-117.7049,354.8,1.4,1.2,2006-02-07,2043,Aqua,MODIS,98,6.2,301.3,104.4,D,0
33.8079,-117.6697,410.3,1.4,1.2,2006-02-07,2043,Aqua,MODIS,100,6.2,308.8,489.4,D,0
33.8014,-117.6811,353.8,1.2,1.1,2006-02-08,610,Terra,MODIS,100,6.2,296.4,96.1,N,0
33.8028,-117.6688,363.1,1.2,1.1,2006-02-08,610,Terra,MODIS,100,6.2,297.7,128.6,N,0
