latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.0317,-119.2558,342.5,1.0,1.0,2018-01-18,1851,Terra,MODIS,93,6.03,285.3,47.5,D,0
32.768,-116.5645,372.6,1.3,1.1,2018-01-18,1852,Terra,MODIS,100,6.03,283.7,177.8,D,0
38.2023,-120.2173,353.5,1.5,1.2,2018-01-23,2048,Aqua,MODIS,97,6.03,281.9,135.1,D,0
38.2039,-120.2248,346.1,1.5,1.2,2018-01-23,2048,Aqua,MODIS,94,6.03,282.1,107.5,D,0
37.0169,-119.2824,345.1,1.4,1.2,2018-01-23,2048,Aqua,MODIS,94,6.03,287.6,92.1,D,0
35.5787,-119.2438,362.3,1.1,1.0,2018-01-25,1857,Terra,MODIS,100,6.03,285.0,101.9,D,0
35.5805,-119.2552,378.6,1.1,1.0,2018-01-25,1857,Terra,MODIS,100,6.03,285.9,161.6,D,0
36.5051,-120.377,367.2,1.0,1.0,2018-01-25,1857,Terra,MODIS,100,6.03,288.0,108.2,D,0
35.5767,-119.2576,345.5,1.0,1.0,2018-01-26,600,Terra,MODIS,100,6.03,280.5,58.9,N,0
36.506,-120.3702,316.5,1.1,1.0,2018-01-26,600,Terra,MODIS,93,6.03,279.5,20.6,N,0
36.5041,-120.3818,319.3,1.1,1.0,2018-01-26,600,Terra,MODIS,98,6.03,278.4,23.6,N,2
35.5784,-119.2465,335.8,1.0,1.0,2018-01-26,600,Terra,MODIS,100,6.03,279.6,42.0,N,0
33.1674,-115.5602,353.4,1.6,1.2,2018-01-26,2117,Aqua,MODIS,97,6.03,302.7,128.7,D,0
35.8661,-119.1762,339.4,1.1,1.1,2018-01-26,2118,Aqua,MODIS,91,6.03,285.2,49.3,D,0
35.8646,-119.1884,343.7,1.1,1.1,2018-01-26,2118,Aqua,MODIS,93,6.03,289.3,57.7,D,0
35.6282,-119.3351,359.2,1.1,1.0,2018-01-26,2118,Aqua,MODIS,99,6.03,286.5,93.8,D,0
36.1178,-120.1705,355.0,1.0,1.0,2018-01-26,2118,Aqua,MODIS,98,6.03,288.3,78.0,D,0
35.5811,-119.2526,346.8,1.1,1.0,2018-01-26,2118,Aqua,MODIS,95,6.03,288.3,63.6,D,0
32.8767,-115.4911,356.7,1.1,1.0,2018-01-28,2105,Aqua,MODIS,98,6.03,304.7,82.1,D,0
32.8752,-115.5027,375.1,1.1,1.0,2018-01-28,2105,Aqua,MODIS,100,6.03,311.2,146.4,D,0
36.4207,-120.34,340.7,1.0,1.0,2018-01-28,2106,Aqua,MODIS,92,6.03,294.6,45.0,D,0
36.3805,-120.1205,352.8,1.1,1.0,2018-02-01,1903,Terra,MODIS,97,6.03,290.4,72.9,D,0
41.7605,-121.236,343.8,1.3,1.1,2018-02-06,1920,Terra,MODIS,93,6.03,289.1,70.2,D,0
41.7632,-121.251,350.1,1.2,1.1,2018-02-06,1920,Terra,MODIS,96,6.03,285.3,87.5,D,0
41.763,-121.2452,371.6,1.2,1.1,2018-02-06,1920,Terra,MODIS,100,6.03,289.4,171.2,D,0
41.7539,-121.2459,347.2,1.1,1.0,2018-02-06,2102,Aqua,MODIS,95,6.03,291.6,63.6,D,0
