latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.1787,-120.1798,342.8,1.0,1.0,2017-01-06,1857,Terra,MODIS,93,6.2,278.4,52.5,D,0
35.3787,-120.1021,387.2,1.1,1.0,2017-01-25,2105,Aqua,MODIS,94,6.2,291.5,197.3,D,0
33.6474,-117.4407,358.7,1.0,1.0,2017-02-02,1839,Terra,MODIS,99,6.2,283.3,84.9,D,0
35.2086,-119.0434,318.3,1.1,1.1,2017-02-05,945,Aqua,MODIS,97,6.2,279.9,24.2,N,0
35.8985,-119.8677,353.1,1.1,1.0,2017-02-24,2118,Aqua,MODIS,97,6.2,295.9,72.3,D,0
35.9143,-119.8715,355.0,1.6,1.2,2017-02-28,1916,Terra,MODIS,98,6.2,292.6,143.1,D,0
35.9142,-119.8657,344.5,1.6,1.2,2017-02-28,1916,Terra,MODIS,94,6.2,291.0,98.7,D,0
35.9034,-119.8748,338.7,1.6,1.2,2017-02-28,1916,Terra,MODIS,91,6.2,292.2,78.9,D,0
35.9119,-119.8825,367.1,1.4,1.2,2017-02-28,2053,Aqua,MODIS,100,6.2,297.7,160.6,D,0
35.9146,-119.8679,342.1,1.3,1.2,2017-02-28,2053,Aqua,MODIS,93,6.2,293.8,68.1,D,0
35.9049,-119.8741,368.6,1.4,1.2,2017-02-28,2053,Aqua,MODIS,100,6.2,294.8,165.5,D,0
35.9017,-119.8796,339.9,1.4,1.2,2017-02-28,2053,Aqua,MODIS,92,6.2,294.2,60.0,D,0
36.7037,-120.0935,338.8,1.3,1.1,2017-02-28,2054,Aqua,MODIS,91,6.2,291.8,60.7,D,0
36.6621,-119.4986,323.0,1.0,1.0,2017-03-03,606,Terra,MODIS,100,6.2,279.5,25.1,N,0
36.8019,-120.7062,350.9,1.2,1.1,2017-03-09,1909,Terra,MODIS,96,6.2,295.9,74.3,D,0
37.8676,-119.8984,365.1,1.0,1.0,2017-03-14,2106,Aqua,MODIS,100,6.2,303.8,97.1,D,0
37.8597,-119.9243,351.8,1.6,1.2,2017-03-15,1832,Terra,MODIS,96,6.2,285.3,125.6,D,0
32.7711,-116.5473,358.4,1.0,1.0,2017-03-15,1833,Terra,MODIS,99,6.2,291.8,77.6,D,0
