latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.6803,-115.635,340.0,1.6,1.2,2013-01-12,2117,Aqua,MODIS,92,6.2,297.4,79.5,D,0
32.6656,-115.5912,345.0,2.0,1.4,2013-01-19,2123,Aqua,MODIS,93,6.2,299.1,127.2,D,0
32.6637,-115.6121,374.6,2.0,1.4,2013-01-19,2123,Aqua,MODIS,100,6.2,305.4,341.3,D,0
32.7079,-115.6329,359.9,1.3,1.1,2013-01-21,2111,Aqua,MODIS,99,6.2,309.7,113.0,D,0
32.7095,-115.6195,345.3,1.3,1.1,2013-01-21,2111,Aqua,MODIS,93,6.2,303.9,66.2,D,0
32.844,-115.3714,382.8,1.6,1.3,2013-01-28,2117,Aqua,MODIS,100,6.2,297.2,334.0,D,0
35.3674,-120.0722,361.6,1.0,1.0,2013-01-30,2106,Aqua,MODIS,94,6.2,297.2,88.7,D,0
35.3819,-120.0992,406.2,1.0,1.0,2013-01-30,2106,Aqua,MODIS,94,6.2,300.8,306.4,D,0
36.5288,-120.1228,343.3,1.1,1.0,2013-02-03,1903,Terra,MODIS,93,6.2,290.5,54.3,D,0
36.4281,-120.3459,337.7,1.1,1.0,2013-02-03,1903,Terra,MODIS,91,6.2,292.1,41.3,D,0
36.3816,-120.1228,354.8,1.1,1.0,2013-02-03,1903,Terra,MODIS,98,6.2,293.7,80.9,D,0
39.8763,-121.5257,339.9,1.1,1.1,2013-02-04,2125,Aqua,MODIS,92,6.2,287.0,54.8,D,0
36.6083,-118.2149,339.7,1.0,1.0,2013-02-05,1851,Terra,MODIS,92,6.2,285.3,45.3,D,0
36.6065,-118.2034,340.1,1.0,1.0,2013-02-05,1851,Terra,MODIS,92,6.2,287.6,45.2,D,0
33.2315,-115.5307,345.7,2.0,1.4,2013-02-05,2028,Aqua,MODIS,93,6.2,303.7,124.9,D,0
32.6842,-115.6099,359.9,1.3,1.1,2013-02-06,2111,Aqua,MODIS,99,6.2,308.2,109.8,D,0
33.1843,-115.5054,343.9,1.6,1.2,2013-02-12,2034,Aqua,MODIS,93,6.2,302.7,89.3,D,0
33.1812,-115.522,343.4,1.6,1.2,2013-02-12,2034,Aqua,MODIS,93,6.2,300.4,87.6,D,0
39.2611,-122.2301,337.6,1.5,1.2,2013-02-15,1927,Terra,MODIS,91,6.2,298.0,63.9,D,0
39.5953,-122.1361,364.2,1.1,1.0,2013-02-15,2107,Aqua,MODIS,100,6.2,300.8,107.5,D,0
39.3031,-122.2206,351.1,1.1,1.1,2013-02-15,2107,Aqua,MODIS,96,6.2,299.4,70.0,D,0
39.6015,-122.0985,367.6,1.1,1.0,2013-02-15,2107,Aqua,MODIS,100,6.2,300.1,117.9,D,0
39.5995,-122.111,377.1,1.1,1.0,2013-02-15,2107,Aqua,MODIS,100,6.2,304.7,156.3,D,0
40.2034,-122.8406,338.3,2.1,1.4,2013-02-16,2150,Aqua,MODIS,91,6.2,279.2,122.6,D,0
39.1508,-121.7418,340.7,1.5,1.2,2013-02-17,2054,Aqua,MODIS,92,6.2,297.3,73.8,D,0
39.1784,-122.2277,344.9,1.0,1.0,2013-02-22,2113,Aqua,MODIS,94,6.2,299.8,48.7,D,0
39.3868,-122.2575,367.1,1.0,1.0,2013-02-22,2113,Aqua,MODIS,100,6.2,298.1,106.0,D,0
